id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,13,HEKTAR,2015
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1045,HEKTAR,2015
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,316,HEKTAR,2015
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2015
5,32,JAWA BARAT,3205,KABUPATEN GARUT,1078,HEKTAR,2015
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,37,HEKTAR,2015
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,160,HEKTAR,2015
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,115,HEKTAR,2015
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1755,HEKTAR,2015
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1076,HEKTAR,2015
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,142,HEKTAR,2015
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,876,HEKTAR,2015
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,34,HEKTAR,2015
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,163,HEKTAR,2015
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,453,HEKTAR,2015
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2015
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16,HEKTAR,2015
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,320,HEKTAR,2015
19,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2015
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2015
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2015
22,32,JAWA BARAT,3274,KOTA CIREBON,3,HEKTAR,2015
23,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2015
24,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2015
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2015
27,32,JAWA BARAT,3279,KOTA BANJAR,5,HEKTAR,2015
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,122,HEKTAR,2016
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,428,HEKTAR,2016
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,206,HEKTAR,2016
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2016
32,32,JAWA BARAT,3205,KABUPATEN GARUT,1485,HEKTAR,2016
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14,HEKTAR,2016
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,11,HEKTAR,2016
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,74,HEKTAR,2016
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2385,HEKTAR,2016
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2002,HEKTAR,2016
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,348,HEKTAR,2016
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,80,HEKTAR,2016
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,26,HEKTAR,2016
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,102,HEKTAR,2016
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,397,HEKTAR,2016
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,HEKTAR,2016
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29,HEKTAR,2016
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2,HEKTAR,2016
46,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2016
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2016
48,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2016
49,32,JAWA BARAT,3274,KOTA CIREBON,3,HEKTAR,2016
50,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2016
51,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2016
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2016
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2016
54,32,JAWA BARAT,3279,KOTA BANJAR,26,HEKTAR,2016
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,202,HEKTAR,2017
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8,HEKTAR,2017
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,176,HEKTAR,2017
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2017
59,32,JAWA BARAT,3205,KABUPATEN GARUT,1113,HEKTAR,2017
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6,HEKTAR,2017
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,963,HEKTAR,2017
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,25,HEKTAR,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,1850,HEKTAR,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1631,HEKTAR,2017
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,128,HEKTAR,2017
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,786,HEKTAR,2017
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,10,HEKTAR,2017
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,84,HEKTAR,2017
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,301,HEKTAR,2017
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,HEKTAR,2017
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,29,HEKTAR,2017
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,516,HEKTAR,2017
73,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2017
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2017
76,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2017
77,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2017
78,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2017
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2017
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2017
81,32,JAWA BARAT,3279,KOTA BANJAR,42,HEKTAR,2017
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,229,HEKTAR,2018
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12,HEKTAR,2018
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,97,HEKTAR,2018
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,HEKTAR,2018
86,32,JAWA BARAT,3205,KABUPATEN GARUT,822,HEKTAR,2018
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,107,HEKTAR,2018
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2307,HEKTAR,2018
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10,HEKTAR,2018
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,2236,HEKTAR,2018
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2736,HEKTAR,2018
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,66,HEKTAR,2018
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,509,HEKTAR,2018
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,164,HEKTAR,2018
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,67,HEKTAR,2018
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,218,HEKTAR,2018
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,HEKTAR,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,18,HEKTAR,2018
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,627,HEKTAR,2018
100,32,JAWA BARAT,3271,KOTA BOGOR,0,HEKTAR,2018
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2018
103,32,JAWA BARAT,3274,KOTA CIREBON,4,HEKTAR,2018
104,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2018
105,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2018
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2018
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2018
108,32,JAWA BARAT,3279,KOTA BANJAR,114,HEKTAR,2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,45,HEKTAR,2019
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57,HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,103,HEKTAR,2019
